# CJK Compatibility Ideographs F900 - FAFF
F9FB	cjk-cjkcompatibilityideographf9fb	CJK COMPATIBILITY IDEOGRAPH-F9FB
F9FC	cjk-cjkcompatibilityideographf9fc	CJK COMPATIBILITY IDEOGRAPH-F9FC
F9FD	cjk-cjkcompatibilityideographf9fd	CJK COMPATIBILITY IDEOGRAPH-F9FD
F9FE	cjk-cjkcompatibilityideographf9fe	CJK COMPATIBILITY IDEOGRAPH-F9FE
F9FF	cjk-cjkcompatibilityideographf9ff	CJK COMPATIBILITY IDEOGRAPH-F9FF
FA00	cjk-cjkcompatibilityideographfa00	CJK COMPATIBILITY IDEOGRAPH-FA00
FA01	cjk-cjkcompatibilityideographfa01	CJK COMPATIBILITY IDEOGRAPH-FA01
FA02	cjk-cjkcompatibilityideographfa02	CJK COMPATIBILITY IDEOGRAPH-FA02
FA03	cjk-cjkcompatibilityideographfa03	CJK COMPATIBILITY IDEOGRAPH-FA03
FA04	cjk-cjkcompatibilityideographfa04	CJK COMPATIBILITY IDEOGRAPH-FA04
FA05	cjk-cjkcompatibilityideographfa05	CJK COMPATIBILITY IDEOGRAPH-FA05
FA06	cjk-cjkcompatibilityideographfa06	CJK COMPATIBILITY IDEOGRAPH-FA06
FA07	cjk-cjkcompatibilityideographfa07	CJK COMPATIBILITY IDEOGRAPH-FA07
FA08	cjk-cjkcompatibilityideographfa08	CJK COMPATIBILITY IDEOGRAPH-FA08
FA09	cjk-cjkcompatibilityideographfa09	CJK COMPATIBILITY IDEOGRAPH-FA09
FA0A	cjk-cjkcompatibilityideographfa0a	CJK COMPATIBILITY IDEOGRAPH-FA0A
FA0B	cjk-cjkcompatibilityideographfa0b	CJK COMPATIBILITY IDEOGRAPH-FA0B
FA0C	cjk-cjkcompatibilityideographfa0c	CJK COMPATIBILITY IDEOGRAPH-FA0C
FA0D	cjk-cjkcompatibilityideographfa0d	CJK COMPATIBILITY IDEOGRAPH-FA0D
FA0E	cjk-cjkcompatibilityideographfa0e	CJK COMPATIBILITY IDEOGRAPH-FA0E
FA0F	cjk-cjkcompatibilityideographfa0f	CJK COMPATIBILITY IDEOGRAPH-FA0F
FA10	cjk-cjkcompatibilityideographfa10	CJK COMPATIBILITY IDEOGRAPH-FA10
FA11	cjk-cjkcompatibilityideographfa11	CJK COMPATIBILITY IDEOGRAPH-FA11
