# Unified Canadian Aboriginal Syllabics 1400 - 167F
14D2	nfdc-canadiansyllabicsnh	CANADIAN SYLLABICS NH
14D3	nfdc-canadiansyllabicsle	CANADIAN SYLLABICS LE
14D4	nfdc-canadiansyllabicslaai	CANADIAN SYLLABICS LAAI
14D5	nfdc-canadiansyllabicsli	CANADIAN SYLLABICS LI
14D6	nfdc-canadiansyllabicslii	CANADIAN SYLLABICS LII
14D7	nfdc-canadiansyllabicslo	CANADIAN SYLLABICS LO
14D8	nfdc-canadiansyllabicsloo	CANADIAN SYLLABICS LOO
14D9	nfdc-canadiansyllabicsycreeloo	CANADIAN SYLLABICS Y-CREE LOO
14DA	nfdc-canadiansyllabicsla	CANADIAN SYLLABICS LA
14DB	nfdc-canadiansyllabicslaa	CANADIAN SYLLABICS LAA
14DC	nfdc-canadiansyllabicslwe	CANADIAN SYLLABICS LWE
14DD	nfdc-canadiansyllabicswestcreelwe	CANADIAN SYLLABICS WEST-CREE LWE
14DE	nfdc-canadiansyllabicslwi	CANADIAN SYLLABICS LWI
14DF	nfdc-canadiansyllabicswestcreelwi	CANADIAN SYLLABICS WEST-CREE LWI
14E0	nfdc-canadiansyllabicslwii	CANADIAN SYLLABICS LWII
14E1	nfdc-canadiansyllabicswestcreelwii	CANADIAN SYLLABICS WEST-CREE LWII
14E2	nfdc-canadiansyllabicslwo	CANADIAN SYLLABICS LWO
14E3	nfdc-canadiansyllabicswestcreelwo	CANADIAN SYLLABICS WEST-CREE LWO
14E4	nfdc-canadiansyllabicslwoo	CANADIAN SYLLABICS LWOO
14E5	nfdc-canadiansyllabicswestcreelwoo	CANADIAN SYLLABICS WEST-CREE LWOO
14E6	nfdc-canadiansyllabicslwa	CANADIAN SYLLABICS LWA
14E7	nfdc-canadiansyllabicswestcreelwa	CANADIAN SYLLABICS WEST-CREE LWA
14E8	nfdc-canadiansyllabicslwaa	CANADIAN SYLLABICS LWAA
14E9	nfdc-canadiansyllabicswestcreelwaa	CANADIAN SYLLABICS WEST-CREE LWAA
14EA	nfdc-canadiansyllabicsl	CANADIAN SYLLABICS L
14EB	nfdc-canadiansyllabicswestcreel	CANADIAN SYLLABICS WEST-CREE L
14EC	nfdc-canadiansyllabicsmediall	CANADIAN SYLLABICS MEDIAL L
14ED	nfdc-canadiansyllabicsse	CANADIAN SYLLABICS SE
14EE	nfdc-canadiansyllabicssaai	CANADIAN SYLLABICS SAAI
14EF	nfdc-canadiansyllabicssi	CANADIAN SYLLABICS SI
14F0	nfdc-canadiansyllabicssii	CANADIAN SYLLABICS SII
14F1	nfdc-canadiansyllabicsso	CANADIAN SYLLABICS SO
14F2	nfdc-canadiansyllabicssoo	CANADIAN SYLLABICS SOO
14F3	nfdc-canadiansyllabicsycreesoo	CANADIAN SYLLABICS Y-CREE SOO
14F4	nfdc-canadiansyllabicssa	CANADIAN SYLLABICS SA
14F5	nfdc-canadiansyllabicssaa	CANADIAN SYLLABICS SAA
14F6	nfdc-canadiansyllabicsswe	CANADIAN SYLLABICS SWE
14F7	nfdc-canadiansyllabicswestcreeswe	CANADIAN SYLLABICS WEST-CREE SWE
14F8	nfdc-canadiansyllabicsswi	CANADIAN SYLLABICS SWI
14F9	nfdc-canadiansyllabicswestcreeswi	CANADIAN SYLLABICS WEST-CREE SWI
14FA	nfdc-canadiansyllabicsswii	CANADIAN SYLLABICS SWII
14FB	nfdc-canadiansyllabicswestcreeswii	CANADIAN SYLLABICS WEST-CREE SWII
14FC	nfdc-canadiansyllabicsswo	CANADIAN SYLLABICS SWO
14FD	nfdc-canadiansyllabicswestcreeswo	CANADIAN SYLLABICS WEST-CREE SWO
14FE	nfdc-canadiansyllabicsswoo	CANADIAN SYLLABICS SWOO
14FF	nfdc-canadiansyllabicswestcreeswoo	CANADIAN SYLLABICS WEST-CREE SWOO
1500	nfdc-canadiansyllabicsswa	CANADIAN SYLLABICS SWA
1501	nfdc-canadiansyllabicswestcreeswa	CANADIAN SYLLABICS WEST-CREE SWA
1502	nfdc-canadiansyllabicsswaa	CANADIAN SYLLABICS SWAA
1503	nfdc-canadiansyllabicswestcreeswaa	CANADIAN SYLLABICS WEST-CREE SWAA
1504	nfdc-canadiansyllabicsnaskapiswaa	CANADIAN SYLLABICS NASKAPI SWAA
1505	nfdc-canadiansyllabicss	CANADIAN SYLLABICS S
1506	nfdc-canadiansyllabicsathapascans	CANADIAN SYLLABICS ATHAPASCAN S
1507	nfdc-canadiansyllabicssw	CANADIAN SYLLABICS SW
1508	nfdc-canadiansyllabicsblackfoots	CANADIAN SYLLABICS BLACKFOOT S
1509	nfdc-canadiansyllabicsmoosecreesk	CANADIAN SYLLABICS MOOSE-CREE SK
150A	nfdc-canadiansyllabicsnaskapiskw	CANADIAN SYLLABICS NASKAPI SKW
150B	nfdc-canadiansyllabicsnaskapisw	CANADIAN SYLLABICS NASKAPI S-W
150C	nfdc-canadiansyllabicsnaskapispwa	CANADIAN SYLLABICS NASKAPI SPWA
150D	nfdc-canadiansyllabicsnaskapistwa	CANADIAN SYLLABICS NASKAPI STWA
150E	nfdc-canadiansyllabicsnaskapiskwa	CANADIAN SYLLABICS NASKAPI SKWA
150F	nfdc-canadiansyllabicsnaskapiscwa	CANADIAN SYLLABICS NASKAPI SCWA
1510	nfdc-canadiansyllabicsshe	CANADIAN SYLLABICS SHE
1511	nfdc-canadiansyllabicsshi	CANADIAN SYLLABICS SHI
1512	nfdc-canadiansyllabicsshii	CANADIAN SYLLABICS SHII
1513	nfdc-canadiansyllabicssho	CANADIAN SYLLABICS SHO
1514	nfdc-canadiansyllabicsshoo	CANADIAN SYLLABICS SHOO
1515	nfdc-canadiansyllabicssha	CANADIAN SYLLABICS SHA
1516	nfdc-canadiansyllabicsshaa	CANADIAN SYLLABICS SHAA
1517	nfdc-canadiansyllabicsshwe	CANADIAN SYLLABICS SHWE
1518	nfdc-canadiansyllabicswestcreeshwe	CANADIAN SYLLABICS WEST-CREE SHWE
1519	nfdc-canadiansyllabicsshwi	CANADIAN SYLLABICS SHWI
151A	nfdc-canadiansyllabicswestcreeshwi	CANADIAN SYLLABICS WEST-CREE SHWI
151B	nfdc-canadiansyllabicsshwii	CANADIAN SYLLABICS SHWII
151C	nfdc-canadiansyllabicswestcreeshwii	CANADIAN SYLLABICS WEST-CREE SHWII
151D	nfdc-canadiansyllabicsshwo	CANADIAN SYLLABICS SHWO
151E	nfdc-canadiansyllabicswestcreeshwo	CANADIAN SYLLABICS WEST-CREE SHWO
151F	nfdc-canadiansyllabicsshwoo	CANADIAN SYLLABICS SHWOO
1520	nfdc-canadiansyllabicswestcreeshwoo	CANADIAN SYLLABICS WEST-CREE SHWOO
1521	nfdc-canadiansyllabicsshwa	CANADIAN SYLLABICS SHWA
1522	nfdc-canadiansyllabicswestcreeshwa	CANADIAN SYLLABICS WEST-CREE SHWA
1523	nfdc-canadiansyllabicsshwaa	CANADIAN SYLLABICS SHWAA
1524	nfdc-canadiansyllabicswestcreeshwaa	CANADIAN SYLLABICS WEST-CREE SHWAA
1525	nfdc-canadiansyllabicssh	CANADIAN SYLLABICS SH
1526	nfdc-canadiansyllabicsye	CANADIAN SYLLABICS YE
1527	nfdc-canadiansyllabicsyaai	CANADIAN SYLLABICS YAAI
1528	nfdc-canadiansyllabicsyi	CANADIAN SYLLABICS YI
1529	nfdc-canadiansyllabicsyii	CANADIAN SYLLABICS YII
152A	nfdc-canadiansyllabicsyo	CANADIAN SYLLABICS YO
152B	nfdc-canadiansyllabicsyoo	CANADIAN SYLLABICS YOO
152C	nfdc-canadiansyllabicsycreeyoo	CANADIAN SYLLABICS Y-CREE YOO
152D	nfdc-canadiansyllabicsya	CANADIAN SYLLABICS YA
152E	nfdc-canadiansyllabicsyaa	CANADIAN SYLLABICS YAA
152F	nfdc-canadiansyllabicsywe	CANADIAN SYLLABICS YWE
1530	nfdc-canadiansyllabicswestcreeywe	CANADIAN SYLLABICS WEST-CREE YWE
1531	nfdc-canadiansyllabicsywi	CANADIAN SYLLABICS YWI
1532	nfdc-canadiansyllabicswestcreeywi	CANADIAN SYLLABICS WEST-CREE YWI
1533	nfdc-canadiansyllabicsywii	CANADIAN SYLLABICS YWII
1534	nfdc-canadiansyllabicswestcreeywii	CANADIAN SYLLABICS WEST-CREE YWII
1535	nfdc-canadiansyllabicsywo	CANADIAN SYLLABICS YWO
1536	nfdc-canadiansyllabicswestcreeywo	CANADIAN SYLLABICS WEST-CREE YWO
1537	nfdc-canadiansyllabicsywoo	CANADIAN SYLLABICS YWOO
