# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A7B6	cjk-cjkunifiedideograph2a7b6	CJK UNIFIED IDEOGRAPH-2A7B6
2A7B7	cjk-cjkunifiedideograph2a7b7	CJK UNIFIED IDEOGRAPH-2A7B7
2A7B8	cjk-cjkunifiedideograph2a7b8	CJK UNIFIED IDEOGRAPH-2A7B8
2A7B9	cjk-cjkunifiedideograph2a7b9	CJK UNIFIED IDEOGRAPH-2A7B9
2A7BA	cjk-cjkunifiedideograph2a7ba	CJK UNIFIED IDEOGRAPH-2A7BA
2A7BB	cjk-cjkunifiedideograph2a7bb	CJK UNIFIED IDEOGRAPH-2A7BB
2A7BC	cjk-cjkunifiedideograph2a7bc	CJK UNIFIED IDEOGRAPH-2A7BC
2A7BD	cjk-cjkunifiedideograph2a7bd	CJK UNIFIED IDEOGRAPH-2A7BD
2A7BE	cjk-cjkunifiedideograph2a7be	CJK UNIFIED IDEOGRAPH-2A7BE
2A7BF	cjk-cjkunifiedideograph2a7bf	CJK UNIFIED IDEOGRAPH-2A7BF
2A7C0	cjk-cjkunifiedideograph2a7c0	CJK UNIFIED IDEOGRAPH-2A7C0
2A7C1	cjk-cjkunifiedideograph2a7c1	CJK UNIFIED IDEOGRAPH-2A7C1
2A7C2	cjk-cjkunifiedideograph2a7c2	CJK UNIFIED IDEOGRAPH-2A7C2
2A7C3	cjk-cjkunifiedideograph2a7c3	CJK UNIFIED IDEOGRAPH-2A7C3
2A7C4	cjk-cjkunifiedideograph2a7c4	CJK UNIFIED IDEOGRAPH-2A7C4
2A7C5	cjk-cjkunifiedideograph2a7c5	CJK UNIFIED IDEOGRAPH-2A7C5
2A7C6	cjk-cjkunifiedideograph2a7c6	CJK UNIFIED IDEOGRAPH-2A7C6
2A7C7	cjk-cjkunifiedideograph2a7c7	CJK UNIFIED IDEOGRAPH-2A7C7
2A7C8	cjk-cjkunifiedideograph2a7c8	CJK UNIFIED IDEOGRAPH-2A7C8
2A7C9	cjk-cjkunifiedideograph2a7c9	CJK UNIFIED IDEOGRAPH-2A7C9
2A7CA	cjk-cjkunifiedideograph2a7ca	CJK UNIFIED IDEOGRAPH-2A7CA
2A7CB	cjk-cjkunifiedideograph2a7cb	CJK UNIFIED IDEOGRAPH-2A7CB
2A7CC	cjk-cjkunifiedideograph2a7cc	CJK UNIFIED IDEOGRAPH-2A7CC
2A7CD	cjk-cjkunifiedideograph2a7cd	CJK UNIFIED IDEOGRAPH-2A7CD
2A7CE	cjk-cjkunifiedideograph2a7ce	CJK UNIFIED IDEOGRAPH-2A7CE
2A7CF	cjk-cjkunifiedideograph2a7cf	CJK UNIFIED IDEOGRAPH-2A7CF
2A7D0	cjk-cjkunifiedideograph2a7d0	CJK UNIFIED IDEOGRAPH-2A7D0
2A7D1	cjk-cjkunifiedideograph2a7d1	CJK UNIFIED IDEOGRAPH-2A7D1
2A7D2	cjk-cjkunifiedideograph2a7d2	CJK UNIFIED IDEOGRAPH-2A7D2
2A7D3	cjk-cjkunifiedideograph2a7d3	CJK UNIFIED IDEOGRAPH-2A7D3
2A7D4	cjk-cjkunifiedideograph2a7d4	CJK UNIFIED IDEOGRAPH-2A7D4
2A7D5	cjk-cjkunifiedideograph2a7d5	CJK UNIFIED IDEOGRAPH-2A7D5
