# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D477	mthm-mathematicalbolditaliccapitalp	MATHEMATICAL BOLD ITALIC CAPITAL P
1D478	mthm-mathematicalbolditaliccapitalq	MATHEMATICAL BOLD ITALIC CAPITAL Q
1D479	mthm-mathematicalbolditaliccapitalr	MATHEMATICAL BOLD ITALIC CAPITAL R
1D47A	mthm-mathematicalbolditaliccapitals	MATHEMATICAL BOLD ITALIC CAPITAL S
1D47B	mthm-mathematicalbolditaliccapitalt	MATHEMATICAL BOLD ITALIC CAPITAL T
1D47C	mthm-mathematicalbolditaliccapitalu	MATHEMATICAL BOLD ITALIC CAPITAL U
1D47D	mthm-mathematicalbolditaliccapitalv	MATHEMATICAL BOLD ITALIC CAPITAL V
1D47E	mthm-mathematicalbolditaliccapitalw	MATHEMATICAL BOLD ITALIC CAPITAL W
1D47F	mthm-mathematicalbolditaliccapitalx	MATHEMATICAL BOLD ITALIC CAPITAL X
1D480	mthm-mathematicalbolditaliccapitaly	MATHEMATICAL BOLD ITALIC CAPITAL Y
1D481	mthm-mathematicalbolditaliccapitalz	MATHEMATICAL BOLD ITALIC CAPITAL Z
1D482	mthm-mathematicalbolditalicsmalla	MATHEMATICAL BOLD ITALIC SMALL A
1D483	mthm-mathematicalbolditalicsmallb	MATHEMATICAL BOLD ITALIC SMALL B
1D484	mthm-mathematicalbolditalicsmallc	MATHEMATICAL BOLD ITALIC SMALL C
1D485	mthm-mathematicalbolditalicsmalld	MATHEMATICAL BOLD ITALIC SMALL D
1D486	mthm-mathematicalbolditalicsmalle	MATHEMATICAL BOLD ITALIC SMALL E
1D487	mthm-mathematicalbolditalicsmallf	MATHEMATICAL BOLD ITALIC SMALL F
1D488	mthm-mathematicalbolditalicsmallg	MATHEMATICAL BOLD ITALIC SMALL G
1D489	mthm-mathematicalbolditalicsmallh	MATHEMATICAL BOLD ITALIC SMALL H
1D48A	mthm-mathematicalbolditalicsmalli	MATHEMATICAL BOLD ITALIC SMALL I
1D48B	mthm-mathematicalbolditalicsmallj	MATHEMATICAL BOLD ITALIC SMALL J
1D48C	mthm-mathematicalbolditalicsmallk	MATHEMATICAL BOLD ITALIC SMALL K
1D48D	mthm-mathematicalbolditalicsmalll	MATHEMATICAL BOLD ITALIC SMALL L
1D48E	mthm-mathematicalbolditalicsmallm	MATHEMATICAL BOLD ITALIC SMALL M
1D48F	mthm-mathematicalbolditalicsmalln	MATHEMATICAL BOLD ITALIC SMALL N
1D490	mthm-mathematicalbolditalicsmallo	MATHEMATICAL BOLD ITALIC SMALL O
1D491	mthm-mathematicalbolditalicsmallp	MATHEMATICAL BOLD ITALIC SMALL P
1D492	mthm-mathematicalbolditalicsmallq	MATHEMATICAL BOLD ITALIC SMALL Q
1D493	mthm-mathematicalbolditalicsmallr	MATHEMATICAL BOLD ITALIC SMALL R
1D494	mthm-mathematicalbolditalicsmalls	MATHEMATICAL BOLD ITALIC SMALL S
1D495	mthm-mathematicalbolditalicsmallt	MATHEMATICAL BOLD ITALIC SMALL T
1D496	mthm-mathematicalbolditalicsmallu	MATHEMATICAL BOLD ITALIC SMALL U
1D497	mthm-mathematicalbolditalicsmallv	MATHEMATICAL BOLD ITALIC SMALL V
