# Byzantine Musical Symbols 1D000 - 1D0FF
1D0CF	byzn-byzantinemusicalsymboldiesistetartimorion	BYZANTINE MUSICAL SYMBOL DIESIS TETARTIMORION
1D0D0	byzn-byzantinemusicalsymboldiesisaplidyododekata	BYZANTINE MUSICAL SYMBOL DIESIS APLI DYO DODEKATA
1D0D1	byzn-byzantinemusicalsymboldiesismonogrammostesseradodekata	BYZANTINE MUSICAL SYMBOL DIESIS MONOGRAMMOS TESSERA DODEKATA
1D0D2	byzn-byzantinemusicalsymboldiesisdigrammosexdodekata	BYZANTINE MUSICAL SYMBOL DIESIS DIGRAMMOS EX DODEKATA
1D0D3	byzn-byzantinemusicalsymboldiesistrigrammosoktododekata	BYZANTINE MUSICAL SYMBOL DIESIS TRIGRAMMOS OKTO DODEKATA
1D0D4	byzn-byzantinemusicalsymbolyfesisaplidyododekata	BYZANTINE MUSICAL SYMBOL YFESIS APLI DYO DODEKATA
1D0D5	byzn-byzantinemusicalsymbolyfesismonogrammostesseradodekata	BYZANTINE MUSICAL SYMBOL YFESIS MONOGRAMMOS TESSERA DODEKATA
1D0D6	byzn-byzantinemusicalsymbolyfesisdigrammosexdodekata	BYZANTINE MUSICAL SYMBOL YFESIS DIGRAMMOS EX DODEKATA
1D0D7	byzn-byzantinemusicalsymbolyfesistrigrammosoktododekata	BYZANTINE MUSICAL SYMBOL YFESIS TRIGRAMMOS OKTO DODEKATA
1D0D8	byzn-byzantinemusicalsymbolgenikidiesis	BYZANTINE MUSICAL SYMBOL GENIKI DIESIS
1D0D9	byzn-byzantinemusicalsymbolgenikiyfesis	BYZANTINE MUSICAL SYMBOL GENIKI YFESIS
1D0DA	byzn-byzantinemusicalsymboldiastoliaplimikri	BYZANTINE MUSICAL SYMBOL DIASTOLI APLI MIKRI
1D0DB	byzn-byzantinemusicalsymboldiastoliaplimegali	BYZANTINE MUSICAL SYMBOL DIASTOLI APLI MEGALI
1D0DC	byzn-byzantinemusicalsymboldiastolidipli	BYZANTINE MUSICAL SYMBOL DIASTOLI DIPLI
1D0DD	byzn-byzantinemusicalsymboldiastolitheseos	BYZANTINE MUSICAL SYMBOL DIASTOLI THESEOS
1D0DE	byzn-byzantinemusicalsymbolsimansistheseos	BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS
1D0DF	byzn-byzantinemusicalsymbolsimansistheseosdisimou	BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS DISIMOU
1D0E0	byzn-byzantinemusicalsymbolsimansistheseostrisimou	BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS TRISIMOU
1D0E1	byzn-byzantinemusicalsymbolsimansistheseostetrasimou	BYZANTINE MUSICAL SYMBOL SIMANSIS THESEOS TETRASIMOU
1D0E2	byzn-byzantinemusicalsymbolsimansisarseos	BYZANTINE MUSICAL SYMBOL SIMANSIS ARSEOS
1D0E3	byzn-byzantinemusicalsymbolsimansisarseosdisimou	BYZANTINE MUSICAL SYMBOL SIMANSIS ARSEOS DISIMOU
