# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F8C8	cjk-cjkcompatibilityideograph2f8c8	CJK COMPATIBILITY IDEOGRAPH-2F8C8
2F8C9	cjk-cjkcompatibilityideograph2f8c9	CJK COMPATIBILITY IDEOGRAPH-2F8C9
2F8CA	cjk-cjkcompatibilityideograph2f8ca	CJK COMPATIBILITY IDEOGRAPH-2F8CA
2F8CB	cjk-cjkcompatibilityideograph2f8cb	CJK COMPATIBILITY IDEOGRAPH-2F8CB
2F8CC	cjk-cjkcompatibilityideograph2f8cc	CJK COMPATIBILITY IDEOGRAPH-2F8CC
2F8CD	cjk-cjkcompatibilityideograph2f8cd	CJK COMPATIBILITY IDEOGRAPH-2F8CD
2F8CE	cjk-cjkcompatibilityideograph2f8ce	CJK COMPATIBILITY IDEOGRAPH-2F8CE
2F8CF	cjk-cjkcompatibilityideograph2f8cf	CJK COMPATIBILITY IDEOGRAPH-2F8CF
2F8D0	cjk-cjkcompatibilityideograph2f8d0	CJK COMPATIBILITY IDEOGRAPH-2F8D0
2F8D1	cjk-cjkcompatibilityideograph2f8d1	CJK COMPATIBILITY IDEOGRAPH-2F8D1
2F8D2	cjk-cjkcompatibilityideograph2f8d2	CJK COMPATIBILITY IDEOGRAPH-2F8D2
2F8D3	cjk-cjkcompatibilityideograph2f8d3	CJK COMPATIBILITY IDEOGRAPH-2F8D3
2F8D4	cjk-cjkcompatibilityideograph2f8d4	CJK COMPATIBILITY IDEOGRAPH-2F8D4
2F8D5	cjk-cjkcompatibilityideograph2f8d5	CJK COMPATIBILITY IDEOGRAPH-2F8D5
2F8D6	cjk-cjkcompatibilityideograph2f8d6	CJK COMPATIBILITY IDEOGRAPH-2F8D6
2F8D7	cjk-cjkcompatibilityideograph2f8d7	CJK COMPATIBILITY IDEOGRAPH-2F8D7
2F8D8	cjk-cjkcompatibilityideograph2f8d8	CJK COMPATIBILITY IDEOGRAPH-2F8D8
2F8D9	cjk-cjkcompatibilityideograph2f8d9	CJK COMPATIBILITY IDEOGRAPH-2F8D9
2F8DA	cjk-cjkcompatibilityideograph2f8da	CJK COMPATIBILITY IDEOGRAPH-2F8DA
2F8DB	cjk-cjkcompatibilityideograph2f8db	CJK COMPATIBILITY IDEOGRAPH-2F8DB
2F8DC	cjk-cjkcompatibilityideograph2f8dc	CJK COMPATIBILITY IDEOGRAPH-2F8DC
2F8DD	cjk-cjkcompatibilityideograph2f8dd	CJK COMPATIBILITY IDEOGRAPH-2F8DD
2F8DE	cjk-cjkcompatibilityideograph2f8de	CJK COMPATIBILITY IDEOGRAPH-2F8DE
2F8DF	cjk-cjkcompatibilityideograph2f8df	CJK COMPATIBILITY IDEOGRAPH-2F8DF
2F8E0	cjk-cjkcompatibilityideograph2f8e0	CJK COMPATIBILITY IDEOGRAPH-2F8E0
2F8E1	cjk-cjkcompatibilityideograph2f8e1	CJK COMPATIBILITY IDEOGRAPH-2F8E1
2F8E2	cjk-cjkcompatibilityideograph2f8e2	CJK COMPATIBILITY IDEOGRAPH-2F8E2
2F8E3	cjk-cjkcompatibilityideograph2f8e3	CJK COMPATIBILITY IDEOGRAPH-2F8E3
2F8E4	cjk-cjkcompatibilityideograph2f8e4	CJK COMPATIBILITY IDEOGRAPH-2F8E4
2F8E5	cjk-cjkcompatibilityideograph2f8e5	CJK COMPATIBILITY IDEOGRAPH-2F8E5
2F8E6	cjk-cjkcompatibilityideograph2f8e6	CJK COMPATIBILITY IDEOGRAPH-2F8E6
2F8E7	cjk-cjkcompatibilityideograph2f8e7	CJK COMPATIBILITY IDEOGRAPH-2F8E7
2F8E8	cjk-cjkcompatibilityideograph2f8e8	CJK COMPATIBILITY IDEOGRAPH-2F8E8
2F8E9	cjk-cjkcompatibilityideograph2f8e9	CJK COMPATIBILITY IDEOGRAPH-2F8E9
2F8EA	cjk-cjkcompatibilityideograph2f8ea	CJK COMPATIBILITY IDEOGRAPH-2F8EA
2F8EB	cjk-cjkcompatibilityideograph2f8eb	CJK COMPATIBILITY IDEOGRAPH-2F8EB
2F8EC	cjk-cjkcompatibilityideograph2f8ec	CJK COMPATIBILITY IDEOGRAPH-2F8EC
2F8ED	cjk-cjkcompatibilityideograph2f8ed	CJK COMPATIBILITY IDEOGRAPH-2F8ED
2F8EE	cjk-cjkcompatibilityideograph2f8ee	CJK COMPATIBILITY IDEOGRAPH-2F8EE
2F8EF	cjk-cjkcompatibilityideograph2f8ef	CJK COMPATIBILITY IDEOGRAPH-2F8EF
2F8F0	cjk-cjkcompatibilityideograph2f8f0	CJK COMPATIBILITY IDEOGRAPH-2F8F0
2F8F1	cjk-cjkcompatibilityideograph2f8f1	CJK COMPATIBILITY IDEOGRAPH-2F8F1
2F8F2	cjk-cjkcompatibilityideograph2f8f2	CJK COMPATIBILITY IDEOGRAPH-2F8F2
2F8F3	cjk-cjkcompatibilityideograph2f8f3	CJK COMPATIBILITY IDEOGRAPH-2F8F3
2F8F4	cjk-cjkcompatibilityideograph2f8f4	CJK COMPATIBILITY IDEOGRAPH-2F8F4
2F8F5	cjk-cjkcompatibilityideograph2f8f5	CJK COMPATIBILITY IDEOGRAPH-2F8F5
2F8F6	cjk-cjkcompatibilityideograph2f8f6	CJK COMPATIBILITY IDEOGRAPH-2F8F6
2F8F7	cjk-cjkcompatibilityideograph2f8f7	CJK COMPATIBILITY IDEOGRAPH-2F8F7
2F8F8	cjk-cjkcompatibilityideograph2f8f8	CJK COMPATIBILITY IDEOGRAPH-2F8F8
